DATE,BUYER,SELLER,Mean
02-Jan-25,"$8,685.00 ","$8,685.50 ","$8,685.25 "
03-Jan-25,"$8,700.50 ","$8,701.00 ","$8,700.75 "
06-Jan-25,"$8,893.00 ","$8,893.50 ","$8,893.25 "
07-Jan-25,"$8,885.50 ","$8,886.00 ","$8,885.75 "
08-Jan-25,"$8,846.50 ","$8,847.00 ","$8,846.75 "
09-Jan-25,"$8,960.00 ","$8,960.50 ","$8,960.25 "
10-Jan-25,"$8,995.00 ","$8,995.50 ","$8,995.25 "
13-Jan-25,"$8,979.00 ","$8,980.00 ","$8,979.50 "
14-Jan-25,"$9,015.00 ","$9,016.00 ","$9,015.50 "
15-Jan-25,"$9,019.00 ","$9,020.00 ","$9,019.50 "
16-Jan-25,"$9,134.50 ","$9,135.00 ","$9,134.75 "
17-Jan-25,"$9,130.00 ","$9,132.00 ","$9,131.00 "
20-Jan-25,"$9,043.00 ","$9,043.50 ","$9,043.25 "
21-Jan-25,"$9,066.00 ","$9,067.00 ","$9,066.50 "
22-Jan-25,"$9,122.50 ","$9,123.00 ","$9,122.75 "
23-Jan-25,"$9,055.50 ","$9,056.00 ","$9,055.75 "
24-Jan-25,"$9,217.00 ","$9,218.00 ","$9,217.50 "
27-Jan-25,"$9,050.00 ","$9,051.00 ","$9,050.50 "
28-Jan-25,"$8,890.00 ","$8,890.50 ","$8,890.25 "
29-Jan-25,"$8,880.50 ","$8,881.00 ","$8,880.75 "
30-Jan-25,"$8,974.50 ","$8,975.00 ","$8,974.75 "
31-Jan-25,"$8,949.00 ","$8,949.50 ","$8,949.25 "
