,LME DAILY OFFICIAL AND SETTLEMENT PRICES,,,,,,,,,,,,,,,,,
,LME COBALT $USD/Tonne,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Mar-25,,,,,,,,,,,,,,,,,
,,CASH,,,3-MONTHS,,,15-MONTHS,,,SETTLEMENT,Exchange Rate ,,,    Sterling Equivalents,,Euro Equivalents,3MStg/$
,,BUYER,SELLER,Mean,BUYER,SELLER,Mean,BUYER,SELLER,Mean,,Stg/$,EURO,Yen,Cash Seller's,3mths Seller's,Cash Seller's,3MStg/$
,03-Mar-25,"$23,270.00 ","$23,770.00 ","$23,520.00 ","$23,485.00 ","$23,985.00 ","$23,735.00 ","$25,115.00 ","$26,115.00 ","$25,615.00 ","$23,770.00",1.2688,1.0471,151.24,"18,734.24","18,903.69","22,700.79",1.2686
,04-Mar-25,"$23,495.00 ","$23,995.00 ","$23,745.00 ","$23,715.00 ","$24,215.00 ","$23,965.00 ","$25,340.00 ","$26,340.00 ","$25,840.00 ","$23,995.00",1.2747,1.0553,148.23,"18,824.04","18,996.63","22,737.61",1.2744
,05-Mar-25,"$23,695.00 ","$24,195.00 ","$23,945.00 ","$23,920.00 ","$24,420.00 ","$24,170.00 ","$25,540.00 ","$26,540.00 ","$26,040.00 ","$24,195.00",1.2813,1.0696,149.52,"18,883.17","19,058.77","22,620.61",1.2811
,06-Mar-25,"$24,495.00 ","$24,995.00 ","$24,745.00 ","$24,725.00 ","$25,225.00 ","$24,975.00 ","$26,340.00 ","$27,340.00 ","$26,840.00 ","$24,995.00",1.2886,1.0801,147.61,"19,397.02","19,575.51","23,141.38",1.2883
,07-Mar-25,"$25,500.00 ","$26,000.00 ","$25,750.00 ","$25,730.00 ","$26,230.00 ","$25,980.00 ","$27,345.00 ","$28,345.00 ","$27,845.00 ","$26,000.00",1.2911,1.0855,147.75,"20,137.87","20,316.01","23,952.10",1.2908
,10-Mar-25,"$26,210.00 ","$26,710.00 ","$26,460.00 ","$26,460.00 ","$26,960.00 ","$26,710.00 ","$28,055.00 ","$29,055.00 ","$28,555.00 ","$26,710.00",1.2933,1.0844,147.02,"20,652.59","20,845.90","24,631.13",1.2931
,11-Mar-25,"$26,990.00 ","$27,490.00 ","$27,240.00 ","$27,250.00 ","$27,750.00 ","$27,500.00 ","$28,840.00 ","$29,840.00 ","$29,340.00 ","$27,490.00",1.2945,1.0919,147.77,"21,236.00","21,436.85","25,176.30",1.2943
,12-Mar-25,"$28,445.00 ","$28,945.00 ","$28,695.00 ","$28,710.00 ","$29,210.00 ","$28,960.00 ","$30,295.00 ","$31,295.00 ","$30,795.00 ","$28,945.00",1.2943,1.0879,149.13,"22,363.44","22,568.18","26,606.31",1.2941
,13-Mar-25,"$32,795.00 ","$33,295.00 ","$33,045.00 ","$33,065.00 ","$33,565.00 ","$33,315.00 ","$34,645.00 ","$35,645.00 ","$35,145.00 ","$33,295.00",1.2933,1.0835,148.21,"25,744.22","25,952.99","30,729.12",1.2931
,14-Mar-25,"$35,400.00 ","$35,900.00 ","$35,650.00 ","$35,670.00 ","$36,170.00 ","$35,920.00 ","$37,250.00 ","$38,250.00 ","$37,750.00 ","$35,900.00",1.2942,1.0895,148.66,"27,739.14","27,947.77","32,950.89",1.2940
,17-Mar-25,"$35,375.00 ","$35,875.00 ","$35,625.00 ","$35,670.00 ","$36,170.00 ","$35,920.00 ","$37,225.00 ","$38,225.00 ","$37,725.00 ","$35,875.00",1.2972,1.0901,148.83,"27,655.72","27,883.13","32,909.82",1.2971
,18-Mar-25,"$35,370.00 ","$35,870.00 ","$35,620.00 ","$35,670.00 ","$36,170.00 ","$35,920.00 ","$37,220.00 ","$38,220.00 ","$37,720.00 ","$35,870.00",1.2970,1.0912,149.85,"27,656.13","27,887.43","32,872.07",1.2969
,19-Mar-25,"$35,360.00 ","$35,860.00 ","$35,610.00 ","$35,670.00 ","$36,170.00 ","$35,920.00 ","$37,210.00 ","$38,210.00 ","$37,710.00 ","$35,860.00",1.2967,1.0902,149.80,"27,654.82","27,893.88","32,893.05",1.2966
,20-Mar-25,"$35,360.00 ","$35,860.00 ","$35,610.00 ","$35,670.00 ","$36,170.00 ","$35,920.00 ","$37,210.00 ","$38,210.00 ","$37,710.00 ","$35,860.00",1.2952,1.0834,148.56,"27,686.84","27,926.19","33,099.50",1.2950
,21-Mar-25,"$32,800.00 ","$33,300.00 ","$33,050.00 ","$33,110.00 ","$33,610.00 ","$33,360.00 ","$34,650.00 ","$35,650.00 ","$35,150.00 ","$33,300.00",1.2937,1.0833,148.67,"25,740.13","25,979.75","30,739.41",1.2935
,24-Mar-25,"$32,780.00 ","$33,280.00 ","$33,030.00 ","$33,110.00 ","$33,610.00 ","$33,360.00 ","$34,630.00 ","$35,630.00 ","$35,130.00 ","$33,280.00",1.2944,1.0830,149.82,"25,710.75","25,965.70","30,729.46",1.2942
,25-Mar-25,"$32,775.00 ","$33,275.00 ","$33,025.00 ","$33,110.00 ","$33,610.00 ","$33,360.00 ","$34,625.00 ","$35,625.00 ","$35,125.00 ","$33,275.00",1.2955,1.0825,149.97,"25,685.06","25,943.65","30,739.03",1.2953
,26-Mar-25,"$32,770.00 ","$33,270.00 ","$33,020.00 ","$33,110.00 ","$33,610.00 ","$33,360.00 ","$34,620.00 ","$35,620.00 ","$35,120.00 ","$33,270.00",1.2894,1.0785,150.40,"25,802.70","26,066.39","30,848.40",1.2893
,27-Mar-25,"$32,765.00 ","$33,265.00 ","$33,015.00 ","$33,110.00 ","$33,610.00 ","$33,360.00 ","$34,615.00 ","$35,615.00 ","$35,115.00 ","$33,265.00",1.2946,1.0788,150.74,"25,695.20","25,961.69","30,835.19",1.2945
,28-Mar-25,"$33,000.00 ","$33,500.00 ","$33,250.00 ","$33,345.00 ","$33,845.00 ","$33,595.00 ","$34,850.00 ","$35,850.00 ","$35,350.00 ","$33,500.00",1.2944,1.0789,150.64,"25,880.72","26,147.25","31,050.14",1.2943
,31-Mar-25,"$33,105.00 ","$33,605.00 ","$33,355.00 ","$33,465.00 ","$33,965.00 ","$33,715.00 ","$34,950.00 ","$35,950.00 ","$35,450.00 ","$33,605.00",1.2953,1.0820,149.38,"25,943.80","26,221.72","31,058.23",1.2952
,Average,"$30,559.76","$31,059.76","$30,809.76","$30,846.19","$31,346.19","$31,096.19","$32,408.10","$33,408.10","$32,908.10","$31,059.76",1.2913,1.0808,149.13,24039.22,24260.91,28715.26,1.2911
,High,"$35,400.00","$35,900.00","$35,650.00","$35,670.00","$36,170.00","$35,920.00","$37,250.00","$38,250.00","$37,750.00","$35,900.00",1.2972,1.0919,151.24,27739.14,27947.77,33099.50,1.2971
,Low,"$23,270.00","$23,770.00","$23,520.00","$23,485.00","$23,985.00","$23,735.00","$25,115.00","$26,115.00","$25,615.00","$23,770.00",1.2688,1.0471,147.02,18734.24,18903.69,22620.61,1.2686
,,,,,,,,,,,,,,,,,,
,"Neither the LME nor any of its directors, officers or employees shall, except in the case of fraud or wilful neglect, be under any liability whatsoever either in ",,,,,,,,,,,,,,,,,
,contract or in tort in respect of any act or omission (including negligence) in relation to the preparation or publication of the data contained in the report ,,,,,,,,,,,,,,,,,
